sample_name,replicate,fastq_r1,fastq_r2
ATAC_seq_bam_mutant_rep1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/084/SRR11186384/SRR11186384_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/084/SRR11186384/SRR11186384_2.fastq.gz
ATAC_seq_bam_mutant_rep2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/085/SRR11186385/SRR11186385_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/085/SRR11186385/SRR11186385_2.fastq.gz
ATAC_seq_ctrl_48hrPHS_rep1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/086/SRR11186386/SRR11186386_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/086/SRR11186386/SRR11186386_2.fastq.gz
ATAC_seq_ctrl_48hrPHS_rep2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/087/SRR11186387/SRR11186387_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/087/SRR11186387/SRR11186387_2.fastq.gz
ATAC_seq_48hrPHS_rep1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/088/SRR11186388/SRR11186388_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/088/SRR11186388/SRR11186388_2.fastq.gz
ATAC_seq_48hrPHS_rep2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/089/SRR11186389/SRR11186389_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/089/SRR11186389/SRR11186389_2.fastq.gz
ATAC_seq_48hrPHS_rep3,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/090/SRR11186390/SRR11186390_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/090/SRR11186390/SRR11186390_2.fastq.gz
ATAC_seq_72hrPHS_rep1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/091/SRR11186391/SRR11186391_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/091/SRR11186391/SRR11186391_2.fastq.gz
ATAC_seq_72hrPHS_rep2,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/092/SRR11186392/SRR11186392_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/092/SRR11186392/SRR11186392_2.fastq.gz
ATAC_seq_72hrPHS_rep3,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/093/SRR11186393/SRR11186393_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/093/SRR11186393/SRR11186393_2.fastq.gz
ATAC_seq_aly_mutant_rep1,a,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/094/SRR11186394/SRR11186394_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/094/SRR11186394/SRR11186394_2.fastq.gz
ATAC_seq_aly_mutant_rep1,b,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/095/SRR11186395/SRR11186395_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/095/SRR11186395/SRR11186395_2.fastq.gz
